,fx,fy,fz,perimeter,nb_neighbor,aniso,area,orient_x,orient_y,orient_z,intensity,intensity_norm
1,310.0,56.25,10.0,82.60846968614979,4.0,2.835391192029508,41.304234843074894,2.824002372648096,0.2538775514228029,1.7361763738247676e-16,3034.7175617003863,210.75039312226713
2,284.25,61.5,11.25,91.75899390774542,4.0,2.8960782831091354,45.87949695387271,2.8521894096366354,0.4058585450748713,0.29591187006047526,3210.2128932446108,222.9379227233231
3,336.1666666666667,59.833333333333336,10.5,81.60812823570876,6.0,2.12828222512849,40.80406411785438,2.0806483430296288,0.44599503428215426,0.039700526968747096,3421.826617373395,237.63374684648127
4,331.6666666666667,74.83333333333333,12.166666666666666,97.10515007493964,6.0,3.3872103077477864,48.55257503746982,3.3757235721431784,0.2662930827254411,0.08229232942585621,2894.753239709528,201.03036637086913
5,300.6666666666667,85.33333333333333,11.5,92.3647627407592,6.0,2.1015874281821127,46.1823813703796,2.096998411332125,0.13875230422839419,-0.003896053767859278,2616.2976713070916,181.69261275302796
6,316.0,103.5,11.666666666666666,125.84634029886953,6.0,2.139389857044834,62.92317014943477,2.1071151375384147,0.3561093400139297,0.10119730993275691,2247.6356606696895,156.09034101227851
7,285.2,117.0,11.4,119.0333969221484,5.0,1.3186667278188469,59.5166984610742,1.2101677580367736,0.5234980105497798,-0.018049083498518532,1290.0463909100276,89.58915566360449
8,277.3333333333333,142.0,11.0,129.08641187144792,6.0,1.7245101190882757,64.54320593572396,1.7018576223913442,0.24053402082440994,0.14056731046862164,2008.4623103973822,139.48059840215717
9,270.8333333333333,96.66666666666667,12.166666666666666,120.92597689043698,6.0,2.7459620747796807,60.46298844521849,2.730344097037524,0.176835854949703,0.23293327006867662,1985.294405665853,137.87166942253467
10,251.66666666666666,119.66666666666667,11.666666666666666,125.19536842459702,6.0,1.2385825384136309,62.59768421229851,1.1913456155459832,0.33153332050268297,-0.06977095512447237,2630.8471451241226,182.703022211015
11,235.66666666666666,144.66666666666666,10.666666666666666,128.58629782500472,6.0,1.7461617176257618,64.29314891250236,1.7221672573623732,0.2794255984011563,0.07170785681407124,1924.6991966681057,133.66354663747862
12,371.8333333333333,54.166666666666664,12.833333333333334,89.21482225083449,6.0,2.932327879135038,44.607411125417244,2.8599999813026815,0.45270234275391,-0.4626094319902809,3182.3258726481213,221.0012678504308
13,362.0,81.2,14.2,81.35754843808877,5.0,1.7156557650221769,40.678774219044385,1.623587324392652,0.49280334475813675,0.2541333656183968,1398.2745595728488,97.10521889810609
14,355.5,68.0,12.666666666666666,84.02117643262793,6.0,1.8016659386977414,42.01058821631396,1.7998615375045335,0.013536868428613905,-0.07946919949625975,2194.6073814868455,152.4077147193329
15,340.6666666666667,90.5,12.0,111.73717216279157,6.0,2.4743333037669326,55.86858608139578,2.424350549076951,0.4934474035696957,0.03686967901671824,2102.70117823961,146.02515421051336
16,383.2,74.4,19.0,99.6968452727247,5.0,3.400417326982435,49.84842263636235,3.3111288634309943,0.1108605763634953,-0.76614201033809,2610.10979727083,181.2628868035058
17,205.5,119.33333333333333,12.333333333333334,143.4649052159116,6.0,1.7990579659187174,71.7324526079558,1.6622932117165747,0.6879549945545123,0.010429213013845366,416.58593291250736,28.93041851358465
18,223.83333333333334,95.83333333333333,14.166666666666666,144.81190139652023,6.0,2.5719160817664695,72.40595069826011,2.5693075136618053,0.08810367453780693,0.07515965954498109,759.1173800733904,52.71801511135405
19,217.66666666666666,164.83333333333334,15.5,115.97659843105195,6.0,2.6502154967418026,57.98829921552598,2.5608368017235756,0.5013049207354723,-0.4630879296148518,1949.8178351794018,135.40794717338403
20,393.0,42.75,17.25,72.62152433915122,4.0,2.50501284613878,36.31076216957561,2.3181081998708497,0.7390719146520155,-0.5960171457134806,1844.1482952473093,128.0695716478345
21,262.0,81.66666666666667,14.166666666666666,117.3827052627673,6.0,4.932212977225942,58.69135263138365,4.8972444257221275,0.4273034424551586,0.4014145681406107,2429.0002711478014,168.68547126068037
22,373.3333333333333,93.5,15.166666666666666,81.27552552150074,6.0,3.005642419434543,40.63776276075037,2.780087316973093,0.9725614197874277,-0.5992705134167254,3375.3245808716906,234.40434500777144
23,352.5,111.66666666666667,13.333333333333334,100.46859938601875,6.0,1.23523426051779,50.234299693009376,1.111183272565256,0.5364180143661348,0.0577159162761279,2114.0161412458406,146.81093834140654
24,308.1666666666667,154.83333333333334,13.0,130.6764859648544,6.0,1.6483143300775212,65.3382429824272,1.552861191657006,0.5377645227082387,0.12795142946005011,1100.0612708659637,76.3953615385812
25,386.0,64.8,17.8,97.46787705070476,5.0,3.275146591138348,48.73393852535238,3.164398507122618,0.1337182964537963,-0.8338385327860427,1570.6853432898656,109.07853757047711
26,302.42857142857144,70.14285714285714,11.285714285714286,108.04690634829588,7.0,2.671338483120327,54.02345317414794,2.626739978820198,0.4773806101684669,0.09161947447162588,2899.9131387948605,201.38870309861912
27,170.5,95.16666666666667,15.5,133.59894295652933,6.0,2.4022195717264148,66.79947147826466,2.3857497088985418,0.0777522042372205,0.2698366024323157,677.276501723019,47.03445578989015
28,316.3333333333333,127.66666666666667,13.5,126.4307392271323,6.0,2.16609188005767,63.21536961356615,2.11424111885931,0.46148602313139214,0.0947057264935776,2443.3225400553642,169.68010214190824
29,353.1666666666667,136.16666666666666,14.5,139.16298331599216,6.0,1.8198482814862154,69.58149165799608,1.764297792505623,0.44616261810781704,0.006323384481114679,1165.025923092081,80.90692668998007
30,327.2,173.4,19.8,126.24644623206594,5.0,1.8594439016607922,63.12322311603297,1.8310433651685525,0.2635092664444404,-0.18808159078879957,1457.64039169525,101.22796581061161
31,288.5,178.5,18.0,107.5364460256149,6.0,1.6399525605710281,53.76822301280745,1.6016188539933538,0.33597622762372925,0.10668374725428559,1524.5167326552178,105.87229097805647
32,257.4,182.0,23.0,91.87336556267513,5.0,1.879189895054903,45.936682781337566,1.7135162382021827,0.23494906930265683,0.7348576038442507,846.4258291084298,58.78127786412241
33,258.6666666666667,71.0,14.166666666666666,104.93920934999569,6.0,4.026284289362059,52.469604674997846,4.002295262201774,0.24839219840228374,0.3617998461772063,2849.6506846699763,197.89815356616973
34,217.6,70.6,18.0,120.86107745280609,5.0,5.493326813669714,60.43053872640304,5.442567432074921,0.46997159580202924,0.5781227622567252,2327.09983998057,161.6088469978974
35,169.0,72.83333333333333,25.666666666666668,105.24780398624371,6.0,7.998102203908026,52.623901993121855,7.745334261221952,0.46773302568032243,1.9392426002921175,3671.8934032291304,255.0
36,191.0,147.33333333333334,13.666666666666666,145.6426469260138,6.0,1.5042046869492403,72.8213234630069,1.500633000836017,0.0444575489223476,0.09357277053592906,921.2155329939847,63.975158076997
37,148.4,150.6,20.8,136.81926734965862,5.0,1.4597225159537728,68.40963367482931,1.3686810332109496,0.46042570328236776,0.2133312557220743,202.73402037675896,14.079160127745018
38,233.8,176.8,22.0,112.81803137760713,5.0,1.693970365785323,56.409015688803564,1.6061069609747711,0.2853364210895234,0.4566608773116744,390.99807460161855,27.153432323424955
39,233.33333333333334,184.16666666666666,38.833333333333336,95.20953653165034,6.0,1.839121491116225,47.60476826582517,1.7982370084474453,0.18461303642961516,0.33856985588765476,1415.5239523788237,98.30312817337409
40,193.66666666666666,68.0,21.333333333333332,111.85103294338944,3.0,6.9299959194352,55.92551647169472,6.797709199692923,0.7854899175404303,1.0949879767563946,2395.8220274101154,166.38135966918657
41,396.6666666666667,133.5,20.166666666666668,132.63929930247826,6.0,2.224799301148282,66.31964965123913,2.0822060830951035,0.6254062522952073,-0.472246521958281,582.2290693237615,40.433748035003774
42,414.0,116.25,23.75,85.88183498319765,4.0,1.568606582250879,42.940917491598825,1.4995832295379827,0.08394545853932792,0.452470891395059,877.1067329657553,60.91195804038727
43,422.2,102.0,27.2,88.37621167328535,5.0,2.2617363163789914,44.18810583664268,2.142768376112054,0.020208846366847482,0.7235927402138863,898.488477700781,62.396844530457116
44,406.3333333333333,54.0,22.666666666666668,97.44174679674114,6.0,2.0709360498262184,48.72087339837057,1.8998595373518523,0.18222627465683677,0.8038056018887386,839.2552224808528,58.28330461456563
45,421.0,40.6,28.4,100.13366170280301,5.0,2.4577481783060118,50.066830851401505,2.2249107689850067,0.05248061106124515,1.0428537593947227,1351.40499743786,93.85029370504043
46,412.5,93.5,24.75,70.14737500412824,4.0,3.4702889677360327,35.07368750206412,3.2339988687278756,0.7536016505967896,1.0080879866733037,2369.889234569427,164.58041899684568
47,400.57142857142856,85.0,22.714285714285715,101.93622004918196,7.0,2.6470098374712143,50.96811002459098,2.4406894470158025,0.6328157969017062,-0.8057544725825241,1712.6184408193508,118.93528881445113
48,128.75,72.25,38.5,114.55304389876011,4.0,11.934881710423959,57.276521949380054,10.47681995465289,0.6317914032443767,5.681415730465939,2210.698294582527,153.5251716792191
49,107.2,76.0,44.6,148.15676350386943,5.0,4.785966436266401,74.07838175193471,4.04838399438609,0.3143273772562714,-2.5332311507192227,994.698178210313,69.07826769169472
