,z,y,x,x_um,y_um,z_um
172,60,172,146,26.7517406,31.515749200000002,13.210908
173,61,73,482,88.3173902,13.3758703,13.4310898
174,61,173,203,37.1959133,31.698980300000002,13.4310898
175,62,93,63,11.5435593,17.0404923,13.651271600000001
176,63,42,477,87.4012347,7.6957062,13.8714534
177,64,157,80,14.658488,28.767282700000003,14.0916352
178,65,74,77,14.1087947,13.559101400000001,14.311817000000001
179,65,74,488,89.41677680000001,13.559101400000001,14.311817000000001
180,65,98,58,10.6274038,17.956647800000002,14.311817000000001
181,65,112,487,89.23354570000001,20.5218832,14.311817000000001
182,65,170,145,26.5685095,31.149287,14.311817000000001
183,66,176,242,44.3419262,32.248673600000004,14.5319988
184,67,90,492,90.14970120000001,16.490799,14.7521806
185,68,146,64,11.7267904,26.7517406,14.972362400000002
186,69,171,344,63.031498400000004,31.3325181,15.1925442
187,69,172,433,79.3390663,31.515749200000002,15.1925442
188,70,149,65,11.910021500000001,27.301433900000003,15.412726000000001
189,70,169,200,36.64622,30.9660559,15.412726000000001
190,71,172,373,68.3452003,31.515749200000002,15.6329078
191,73,167,161,29.5002071,30.5995937,16.0732714
192,73,172,403,73.8421333,31.515749200000002,16.0732714
193,75,169,214,39.2114554,30.9660559,16.513635
194,75,170,380,69.627818,31.149287,16.513635
195,76,50,492,90.14970120000001,9.161555,16.7338168
196,77,169,380,69.627818,30.9660559,16.953998600000002
197,79,163,98,17.956647800000002,29.8666693,17.3943622
198,82,55,500,91.61555,10.0777105,18.0549076
